Facebook  https://www.facebook.com/about/privacy/update/printable  Sign Up  Email or Phone  Password  Forgot account?	Not applicable				
Log	Not applicable				
In  Data Policy 	Not applicable				
This policy describes the information we process to support Facebook, Instagram, Messenger and other products and features oﬀered by Facebook (Facebook Products or Products).	Related to privacy				
You can ﬁnd additional tools and information in the Facebook Settings and Instagram  Settings.	Commit to privacy	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/		
  I.	Not applicable				
What kinds of information do we collect?	Related to privacy				
To provide the Facebook Products, we must process information about you.	Related to privacy				
The types of information we collect depend on how you use our Products.	Related to privacy				
 You can learn how to access and delete information we collect by visiting the Facebook Settings and Instagram Settings.	Commit to privacy	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/		
  Things you and others do and provide.	Related to privacy				
  • Information and content you provide.	Not applicable				
We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate  with others.	Violate privacy				
This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a ﬁle was created.	Violate privacy				
It can also include what you see through features we provide, such as our camera, so we can do things like suggest masks and ﬁlters that you might like, or give you tips on using portrait mode.	Violate privacy				
Our systems  automatically process content and communications you and others provide to analyze context and what's in them for the purposes described below.	Violate privacy	untraceable			
Learn more about how you can control who can see the things you share.	Commit to privacy	https://www.facebook.com/help/1297502253597210?ref=dp			
•	Not applicable				
Data with special protections: You can choose to provide information in your Facebook proﬁle ﬁelds or Life Events about your religious views, political views, who you are "interested in," or your health.	Related to privacy	https://www.facebook.com/help/276177272409629/		https://www.facebook.com/gi.craveiro/about_life_events	https://www.facebook.com/gi.craveiro/about_contact_and_basic_info
This and other information (such as racial  or ethnic origin, philosophical beliefs or trade union membership) is subject to special protections under EU law.	Commit to privacy	untraceable			
  • Networks and connections.	Not applicable				
We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of.	Violate privacy				
 We also collect contact information if you choose to upload, sync or import it from a device (such as an address book or call log or SMS log history), which we use for things like helping you and others ﬁnd people you may  know and for the other purposes listed below.	Related to privacy				
  •	Not applicable				
Your usage.	Not applicable				
We collect information about how you use our Products, such as the types of content you view or engage with; the features you use; the actions you take; the people or accounts you interact with; and the time, frequency and  duration of your activities.	Violate privacy				
For example, we log when you're using and have last used our Products, and what posts, videos  and other content you view on our Products.	Violate privacy				
We also collect information about how you use features like our camera.	Violate privacy				
  •	Not applicable				
Information   about   transactions   made   on   our   Products.	Not applicable				
If   you   use   our   Products   for   purchases   or   other   ﬁnancial transactions   (such   as   when   you   make   a   purchase   in   a   game   or   make   a   donation),   we   collect   information   about   the purchase or transaction.	Violate privacy				
This includes payment information, such as your credit or debit card number and other card  information; other account and authentication information; and billing, shipping and contact details.	Violate privacy				
  • Things others do and information they provide about you.	Not applicable				
We also receive and analyze content, communications and information that other people provide when they use our Products.	Related to privacy				
This can include information about you, such as when  others share or comment on a photo of you, send a message to you, or upload, sync or import your contact information.	Violate privacy				
Device Information  As described below, we collect information from and about the computers, phones, connected TVs and other web-connected  devices you use that integrate with our Products, and we combine this information across diﬀerent devices you use.	Violate privacy				
For  example, we use information collected about your use of our Products on your phone to better personalize the content  (including ads) or features you see when you use our Products on another device, such as your laptop or tablet, or to  measure whether you took an action in response to an ad we showed you on your phone on a diﬀerent device.	Related to privacy				
  Information we obtain from these devices	Not applicable				
includes: • Device   attributes:   information   such   as   the   operating   system,   hardware   and   software   versions,   battery   level,   signal  strength, available storage space, browser type, app and ﬁle names and types, and plugins.	Violate privacy				
  • Device operations: information about operations and behaviors performed on the device, such as whether a window is  foregrounded or backgrounded, or mouse movements (which can help distinguish humans from bots).	Violate privacy				
  •	Not applicable				
Identiﬁers: unique identiﬁers, device IDs, and other identiﬁers, such as from games, apps or accounts you use, and Family   Device   IDs   (or   other   identiﬁers   unique   to   Facebook   Company   Products   associated   with   the   same   device   or   account).	Violate privacy				
  • Device signals: Bluetooth signals, and information about nearby Wi-Fi access points, beacons, and cell towers.	Violate privacy				
  •	Not applicable				
Data from device settings: information you allow us to receive through device settings you turn on, such as access to  your GPS location, camera or photos.	Related to privacy				
  • Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.	Violate privacy				
  •	Not applicable				
Cookie data: data from cookies stored on your device, including cookie IDs and settings.	Related to privacy				
Learn more about how we use  cookies in the Facebook Cookies Policy and Instagram Cookies Policy.	Commit to privacy	https://www.facebook.com/policies/cookies/	https://help.instagram.com/1896641480634370?ref=ig		
Information from partners.	Not applicable				
  Advertisers, app developers, and publishers can send us information through Facebook Business Tools they use, including our social plug-ins (such as the Like button), Facebook Login, our APIs and SDKs, or the Facebook pixel.	Related to privacy				
These partners  provide   information   about   your   activities   oﬀ   Facebook—including   information   about   your   device,   websites   you   visit, purchases you make, the ads you see, and how you use their services—whether or not you have a Facebook account or are  logged into Facebook.	Violate privacy				
For example, a game developer could use our API to tell us what games you play, or a business could tell us about a purchase you made in its store.	Related to privacy				
We also receive information about your online and oﬄine actions and  purchases from third-party data providers who have the rights to provide us with your information.  	Commit to privacy	untraceable			
Partners receive your data when you visit or use their services or through third parties they work with.	Related to privacy				
 We require each of these partners to have lawful rights to collect, use and share your data before providing any data to us.	Commit to privacy	untraceable			
Learn more about the types of partners we receive data from.	Commit to privacy	https://www.facebook.com/help/494750870625830?ref=dp			
  To learn more about how we use cookies in connection with Facebook Business Tools, review the Facebook Cookies Policy  and Instagram Cookies Policy.	Commit to privacy	https://www.facebook.com/policies/cookies/	https://help.instagram.com/1896641480634370?ref=ig		
  II.	Not applicable				
How do we use this information?	Not applicable				
  We use the information we have (subject to choices you make) as described below and to provide and support the Facebook Products and related services described in the Facebook Terms and Instagram Terms.	Commit to privacy	untraceable			
Here's how:  Provide, personalize and improve our Products.	Related to privacy				
We use the information we have to deliver our Products, including to personalize features and content (including your News  Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be  interested in or topics you may want to follow) on and oﬀ our Products.	Related to privacy				
To create personalized Products that are unique and  relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you   and   others   (including   any   data  with   special   protections   you   choose   to   provide   where   you   have   given   your   explicit consent); how you use and interact with our Products; and the people, places, or things you're connected to and interested  in   on   and   oﬀ   our   Products.	Commit to privacy	untraceable			
  Learn   more   about   how   we   use   information   about   you   to   personalize   your   Facebook   and  Instagram experience, including features, content and recommendations in Facebook Products; you can also learn more about how we choose the ads that you see.	Commit to privacy	no link attached (for the first part)	https://www.facebook.com/about/ads		
•	Not applicable				
Information   across   Facebook   Products   and   devices:   We   connect   information   about   your   activities   on   diﬀerent Facebook Products and devices to provide a more tailored and consistent experience on all Facebook Products you use,  wherever you use them.	Violate privacy				
For example, we can suggest that you join a group on Facebook that includes people you follow  on Instagram or communicate with using Messenger.	Violate privacy				
We can also make your experience more seamless, for example, by  automatically ﬁlling in your registration information (such as your phone number) from one Facebook Product when you  sign up for an account on a diﬀerent Product.	Related to privacy				
  •	Not applicable				
Location-related information: We use location-related information-such   as   your   current   location,   where   you   live,   the places   you   like   to   go,   and   the   businesses  and   people   you're   near-to   provide,   personalize   and   improve   our   Products,  including ads, for you and others.	Violate privacy				
Location-related information can be based on things like precise device location (if you've  allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins  or events you attend).	Commit to privacy	hard to trace			
  •	Not applicable				
Product   research   and   development:   We   use   the   information   we   have   to   develop,   test   and   improve   our   Products,  including by conducting surveys and research, and testing and troubleshooting new products and features.	Related to privacy				
  •	Not applicable				
Face recognition: If you have it turned on, we use face recognition technology to recognize you in photos, videos and camera experiences.	Commit to privacy				
The face-recognition templates we create are data with special protections under EU law.	Commit to privacy	untraceable			
Learn more about how we use face recognition technology, or control our use of this technology in Facebook Settings.	Commit to privacy	https://www.facebook.com/help/122175507864081?ref=dp	https://www.facebook.com/settings/?tab=account		
If we introduce  face-recognition technology to your Instagram experience, we will let you know ﬁrst, and you will have control over whether we use this technology for you.	Commit to privacy	untraceable			
  • Ads and other sponsored content: We use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, oﬀers and other sponsored content that we show you.	Related to privacy				
Learn more about how we select and personalize ads, and your choices over the data we use to select ads and other sponsored content for you in the Facebook Settings and Instagram Settings.	Commit to privacy	https://www.facebook.com/adpreferences/advertisers/	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/	
Provide measurement, analytics, and other business services.	Not applicable				
